Basse Kotto,Central African Republic,5.5,21.875,
Kemo,Central African Republic,6.0,19.375,
Lobaye,Central African Republic,4.5,18.125,
Mambere-kadei,Central African Republic,5.0,16.25,
Mbomou,Central African Republic,6.0,23.75,
Nana Grebizi,Central African Republic,8.0,19.375,
Nana Mambere,Central African Republic,6.0,15.625,
Ombella-mpoko,Central African Republic,5.5,18.75,
Ouaka,Central African Republic,6.5,20.625,
Ouham,Central African Republic,7.5,18.125,
Ouham-pende,Central African Republic,7.0,16.25,
Sangha Mbaere,Central African Republic,4.0,16.875,
Vakaga,Central African Republic,10.0,22.5,
Biltine,Chad,15.0,21.25,
Guera,Chad,12.0,18.75,
Lac,Chad,14.0,15,
Logone Occidental,Chad,9.0,16.25,
Salamat,Chad,11.0,21.25,
Bouenza,Congo,-4.0,13.75,
Cuvette,Congo,0.0,16.25,
Kouilou,Congo,-0.5,15,
Lekoumou,Congo,-3.0,13.75,
Likouala,Congo,0.5,16.25,
Niari,Congo,-2.5,12.5,
Plateaux,Congo,-2.0,15.625,
Pool,Congo,-4.0,15,
Sangha,Congo,1.5,15.625,
Arua,Uganda,3.0,31.25,
Bandundu,Democratic Republic of the Congo,-3.0,17.5,
Bas-Congo,Democratic Republic of the Congo,-5.5,13.75,
Equateur,Democratic Republic of the Congo,1.0,19.375,
Kasai-Occidental,Democratic Republic of the Congo,-5.0,21.875,
Kasai-Oriental,Democratic Republic of the Congo,-6.0,23.75,
Katanga,Democratic Republic of the Congo,-11.5,28.125,
Kinshasa,Democratic Republic of the Congo,-4.0,15.625,
Maniema,Democratic Republic of the Congo,-2.5,26.25,
Nord-Kivu,Democratic Republic of the Congo,-0.5,28.75,
Province Orientale,Democratic Republic of the Congo,-6.0,23.75,
Sud-Kivu,Democratic Republic of the Congo,-3.0,28.125,
Bududa,Uganda,1.5,35,
Buvuma,Uganda,-0.5,33.75,
Gomba,Uganda,0.5,31.875,
Gulu,Uganda,3.0,32.5,
Ali Sabieh,Djibouti,11.5,43.125,
Dikhil,Djibouti,11.5,42.5,
Djibouti,Djibouti,12.0,43.125,
Obock,Djibouti,12.5,43.75,
Tadjourah,Djibouti,12.0,43.125,
Annobon,Equatorial Guinea,-1.0,6.25,
Bioko Norte,Equatorial Guinea,4.0,9.375,
Bioko Sur,Equatorial Guinea,3.5,8.75,
Centro Sur,Equatorial Guinea,1.5,10.625,
Litoral,Equatorial Guinea,2.0,10.0,
Anseba,Eritrea,17.0,38.125,
Debub,Eritrea,15.0,39.375,
Debubawi Keih Bahri,Eritrea,14.0,41.875,
Gash Barka,Eritrea,15.5,37.5,
Maekel,Eritrea,15.5,39.375,
Semenawi Keih Bahri,Eritrea,16.0,39.375,
Addis Ababa,Ethiopia,9.0,38.75,
Afar,Ethiopia,12.0,41.25,
Amhara,Ethiopia,11.5,38.75,
Benishangul Gumuz,Ethiopia,10.5,35.625,
Dire Dawa,Ethiopia,10.0,41.875,
Gambella,Ethiopia,8.5,35,
Harari,Ethiopia,9.5,42.5,
Kiboga,Uganda,1.0,32.5,
Kibuku,Uganda,1.5,34.375,
SNNP,Ethiopia,6.5,36.875,
Tigray,Ethiopia,14.0,39.375,
Kiryandongo,Uganda,2.0,32.5,
Kumi,Uganda,1.5,34.375,
Estuaire,Gabon,0.5,10.0,
Haut-Ogooue,Gabon,-1.5,13.75,
Moyen-Ogooue,Gabon,-0.5,10.625,
Ngounie,Gabon,-1.5,11.25,
Nyanga,Gabon,-3.0,11.25,
Ogooue-Ivindo,Gabon,1.0,13.125,
Ogooue-lolo,Gabon,-1.0,12.5,
Ogooue-Maritime,Gabon,-1.0,10.0,
Woleu-Ntem,Gabon,1.5,11.875,
Banjul,Gambia,13.5,-16.25,
Central River,Gambia,14.0,-14.375,
Lower River,Gambia,13.5,-15.625,
North Bank,Gambia,13.5,-15.625,
Upper River,Gambia,13.5,-13.75,
Western,Gambia,13.5,-16.25,
Ashanti,Ghana,7.0,-1.25,
Brong Ahafo,Ghana,8.0,-1.25,
Central,Ghana,5.5,-1.875,
Eastern,Ghana,28.0,46.875,
Greater Accra,Ghana,6.0,0.625,
Northern,Ghana,9.5,0.625,
Volta,Ghana,7.5,0.625,
Western,Ghana,6.0,-1.875,
Kyankwanzi,Uganda,1.5,31.875,
Mitooma,Uganda,-0.5,30.625,
Kyegegwa,Uganda,0.5,31.25,
Kyenjojo,Uganda,1.0,31.25,
Mpigi,Uganda,0.5,31.875,
Nwoya,Uganda,3.0,31.875,
Serere,Uganda,1.5,33.75,
Lwengo,Uganda,0.0,31.875,
Mukono,Uganda,0.0,33.125,
Namayingo,Uganda,0.0,34.375,
Pallisa,Uganda,1.5,34.375,
Lira,Uganda,2.5,33.75,
Rakai,Uganda,-0.5,31.875,
Lyantonde,Uganda,0.0,31.25,
Kaolack,Senegal,14.0,-15.625,
Kedougou,Senegal,13.0,-11.875,
Kolda,Senegal,13.5,-14.375,
Sedhiou,Senegal,13.0,-15,
Tambacounda,Senegal,14.0,-12.5,
Kaffrine,Senegal,14.5,-15,
Bafata,Guinea-Bissau,12.5,-14.375,
Biombo,Guinea-Bissau,12.0,-15.625,
Cacheu,Guinea-Bissau,12.5,-15.625,
Gabu,Guinea-Bissau,12.5,-13.75,
Oio,Guinea-Bissau,12.5,-15,
Quinara,Guinea-Bissau,12.0,-15,
Sector Autonomo De Bissau,Guinea-Bissau,12.0,-15,
Tombali,Guinea-Bissau,11.5,-15,
Bomi,Liberia,7.0,-10.625,
Bong,Liberia,7.0,-9.375,
Gbarpolu,Liberia,7.5,-10.0,
Grand Bassa,Liberia,6.5,-9.375,
Grand Cape Mount,Liberia,7.5,-10.625,
Grand Gedeh,Liberia,6.0,-7.5,
Grand Kru,Liberia,5.0,-8.125,
Lofa,Liberia,8.0,-9.375,
Margibi,Liberia,7.0,-10.0,
Maryland,Liberia,5.0,-7.5,
Montserrado,Liberia,6.5,-10.0,
Nimba,Liberia,7.0,-8.125,
Rivercess,Liberia,6.0,-9.375,
Sinoe,Liberia,5.5,-8.75,
Central Region,Malawi,-13.5,33.75,
Northern Region,Malawi,-11.0,34.375,
Southern Region,Malawi,-15.0,35.625,
Bamako,Mali,13.0,-7.5,
Gao,Mali,16.5,0.0,
Kayes,Mali,14.5,-11.25,
Kidal,Mali,18.5,1.875,
Koulikoro,Mali,13.0,-7.5,
Mopti,Mali,14.5,-3.75,
Segou,Mali,13.5,-6.25,
Sikasso,Mali,11.5,-5.625,
Tombouctou,Mali,17.0,-2.5,
Adrar,Mauritania,21.5,-10.0,
Assaba,Mauritania,17.0,-11.25,
Brakna,Mauritania,17.5,-13.125,
Dakhlet Nouadhibou,Mauritania,21.0,-15.625,
Gorgol,Mauritania,16.5,-12.5,
Guidimaka,Mauritania,15.5,-11.875,
Hodh Ech Chargui,Mauritania,18.5,-6.875,
Hodh El Gharbi,Mauritania,17.0,-9.375,
Inchiri,Mauritania,20.0,-15,
Nouakchott,Mauritania,18.5,-15.625,
Tagant,Mauritania,19.0,-10.0,
Tiris Zemmour,Mauritania,24.5,-9.375,
Trarza,Mauritania,18.0,-14.375,
Cabo Delgado,Mozambique,-12.0,40.0,
Gaza,Mozambique,-23.0,33.125,
Inhambane,Mozambique,-22.5,35,
Manica,Mozambique,-19.0,33.75,
Maputo,Mozambique,-26.0,33.125,
Maputo (city),Mozambique,-26.0,33.125,
Nampula,Mozambique,-15.0,39.375,
Niassa,Mozambique,-13.0,36.875,
Sofala,Mozambique,-19.0,35,
Tete,Mozambique,-15.5,33.125,
Zambezia,Mozambique,-16.5,37.5,
Caprivi,Namibia,-17.5,24.375,
Erongo,Namibia,-22.0,15.625,
Hardap,Namibia,-24.0,17.5,
Karas,Namibia,-26.5,18.125,
Kavango,Namibia,-18.0,19.375,
Khomas,Namibia,-22.5,17.5,
Kunene,Namibia,-19.5,14.375,
Ohangwena,Namibia,-17.5,16.875,
Omaheke,Namibia,-21.5,20.0,
Omusati,Namibia,-18.0,15,
Oshana,Namibia,-18.0,16.25,
Oshikoto,Namibia,-18.5,17.5,
Otjozondjupa,Namibia,-19.5,18.75,
Agadez,Niger,17.0,8.125,
Diffa,Niger,13.5,13.125,
Dosso,Niger,13.5,3.75,
Maradi,Niger,14.0,7.5,
Niamey,Niger,13.5,2.5,
Tahoua,Niger,15.0,5,
Tillaberi,Niger,15.0,1.25,
Zinder,Niger,14.0,9.375,
Adamawa,Nigeria,10.0,12.5,
Akwa Ibom,Nigeria,5.0,8.125,
Anambra,Nigeria,6.5,7.5,
Benue,Nigeria,7.5,9.375,
Borno,Nigeria,12.5,13.75,
Cross River,Nigeria,6.0,8.75,
Delta,Nigeria,6.0,6.25,
Edo,Nigeria,7.0,6.25,
FCT - Abuja,Nigeria,9.5,7.5,
Imo,Nigeria,6.0,7.5,
Jigawa,Nigeria,12.5,10.0,
Kaduna,Nigeria,10.5,8.125,
Kano,Nigeria,12.0,8.75,
Katsina,Nigeria,13.0,8.125,
Kebbi,Nigeria,11.5,4.375,
Kogi,Nigeria,8.5,6.875,
Kwara,Nigeria,9.0,5,
Lagos,Nigeria,6.5,3.75,
Niger,Nigeria,10.0,6.25,
Ogun,Nigeria,7.0,3.75,
Osun,Nigeria,8.0,5,
Oyo,Nigeria,8.5,3.75,
Taraba,Nigeria,8.5,11.25,
Yobe,Nigeria,12.5,11.875,
Dakar,Senegal,15.0,-16.875,
Thies,Senegal,15.0,-16.875,
Ziguinchor,Senegal,13.0,-16.25,
Eastern,Sierra Leone,8.0,-10.625,
Northern,Sierra Leone,9.5,-11.25,
Southern,Sierra Leone,8.0,-11.875,
Western Area,Sierra Leone,8.5,-12.5,
Awdal,Somalia,11.0,43.75,
Bakool,Somalia,4.5,44.375,
Bari,Somalia,10.5,50.625,
Bay,Somalia,3.0,43.75,
Banadir,Somalia,2.5,45.625,
Galgaduud,Somalia,5.0,47.5,
Gedo,Somalia,3.0,42.5,
Juba Hoose,Somalia,0.0,42.5,
Shabelle Hoose,Somalia,2.0,45,
Juba Dhexe,Somalia,1.5,43.125,
Shabelle Dhexe,Somalia,3.0,46.25,
Mudug,Somalia,7.0,48.75,
Nugaal,Somalia,8.5,49.375,
Sanaag,Somalia,10.0,48.125,
Sool,Somalia,9.0,48.125,
Togdheer,Somalia,9.5,45.625,
Woqooyi Galbeed,Somalia,10.0,45,
Unity,South Sudan,9.5,30.0,
Central Equatoria,South Sudan,5.0,31.875,
Blue Nile,Sudan,11.0,34.375,
Eastern Equatoria,South Sudan,5.5,33.75,
Jonglei,South Sudan,8.0,32.5,
Khartoum,Sudan,16.0,33.125,
Northern,Sudan,20.0,30.0,
Nile,Sudan,19.5,30.625,
Sennar,Sudan,13.0,34.375,
Warab,South Sudan,8.5,28.75,
Western Equatoria,South Sudan,5.5,29.375,
White Nile,Sudan,13.5,33.125,
Hhohho,Swaziland,-26.0,31.875,
Lubombo,Swaziland,-26.5,31.875,
Manzini,Swaziland,-26.5,31.25,
Shiselweni,Swaziland,-27.0,31.875,
Centrale,Togo,9.0,1.25,
Kara,Togo,10.0,1.25,
Maritime,Togo,7.0,1.25,
Plateaux,Togo,7.5,1.25,
Savanes,Togo,11.0,0.625,
Adjumani,Uganda,3.5,31.875,
Busia,Uganda,0.5,34.375,
Hoima,Uganda,1.5,31.25,
Jinja,Uganda,1.0,33.75,
Kabale,Uganda,-1.0,30.625,
Kalangala,Uganda,-0.5,32.5,
Kasese,Uganda,0.5,30.625,
Kibaale,Uganda,1.0,31.25,
Kisoro,Uganda,-1.0,30.0,
Moyo,Uganda,3.5,31.875,
Ntungamo,Uganda,-0.5,30.625,
Central,Zambia,-14.5,28.125,
Copperbelt,Zambia,-13.0,28.125,
Eastern,Zambia,-12.5,32.5,
Luapula,Zambia,-10.5,28.75,
Lusaka,Zambia,-15.0,28.75,
Northern,Zambia,-10.5,31.25,
Southern,Zambia,-16.5,26.875,
Western,Zambia,-15.5,24.375,
Bulawayo,Zimbabwe,-20.0,28.75,
Harare,Zimbabwe,-17.5,31.25,
Manicaland,Zimbabwe,-19.0,32.5,
Mashonaland Central,Zimbabwe,-16.5,31.875,
Mashonaland West,Zimbabwe,-17.0,30.0,
Masvingo,Zimbabwe,-20.0,31.25,
Matabeleland South,Zimbabwe,-20.5,29.375,
Midlands,Zimbabwe,-19.0,30.0,
Batha Est,Chad,13.5,18.75,
Borkou,Chad,17.5,18.75,
Ennedi,Chad,18.0,23.75,
Tibesti,Chad,21.0,18.125,
Baguirmi,Chad,11.5,16.875,
Hadjer Lamis,Chad,13.0,16.875,
Kanem,Chad,15.5,15.625,
Logone Oriental,Chad,8.5,16.875,
Kabia,Chad,10.0,15.625,
Mandoul,Chad,9.0,18.125,
Ouaddai,Chad,13.5,21.875,
Sila,Chad,12.5,21.875,
Kigali City/Umujyi wa Kigali,Rwanda,-1.5,30.625,
West/Iburengerazuba,Rwanda,-2.0,29.375,
Boucle Du Mouhoun,Burkina Faso,12.5,-3.125,
Cascades,Burkina Faso,10.5,-4.375,
Centre,Burkina Faso,12.5,-1.25,
Centre-est,Burkina Faso,12.0,0.0,
Centre-nord,Burkina Faso,13.5,-0.625,
Centre-ouest,Burkina Faso,12.0,-1.875,
Centre-sud,Burkina Faso,12.0,-0.625,
Est,Burkina Faso,12.5,1.25,
Hauts-bassins,Burkina Faso,11.5,-3.75,
Nord,Burkina Faso,13.5,-1.875,
Plateau Central,Burkina Faso,12.5,-0.625,
Sahel,Burkina Faso,14.5,0.0,
Sud-ouest,Burkina Faso,10.5,-3.125,
Bubanza,Burundi,-3.0,30.0,
Bujumbura-Mairie,Burundi,-3.0,29.375,
Bujumbura-Rural,Burundi,-3.0,30.0,
Bururi,Burundi,-3.5,30.0,
Cankuzo,Burundi,-3.0,30.625,
Cibitoke,Burundi,-2.5,29.375,
Gitega,Burundi,-3.5,30.0,
Karuzi,Burundi,-3.0,30.625,
Kayanza,Burundi,-2.5,30.0,
Kirundo,Burundi,-2.5,30.625,
Makamba,Burundi,-4.0,30.0,
Muramvya,Burundi,-3.0,30.0,
Muyinga,Burundi,-2.5,30.625,
Mwaro,Burundi,-3.5,30.0,
Ngozi,Burundi,-2.5,30.0,
Rutana,Burundi,-3.5,30.0,
Ruyigi,Burundi,-3.0,30.625,
Boke,Guinea,11.0,-13.75,
Conakry,Guinea,10.0,-13.125,
Faranah,Guinea,10.5,-10.625,
Kankan,Guinea,10.5,-8.75,
Kindia,Guinea,10.5,-12.5,
Labe,Guinea,12.0,-11.875,
Mamou,Guinea,11.0,-11.875,
N'Zerekore,Guinea,8.0,-8.75,
Red Sea,Sudan,19.5,35.625,
Alaotra Mangoro,Madagascar,-17.5,48.75,
Amoron'i Mania,Madagascar,-20.0,46.875,
Analamanga,Madagascar,-18.5,46.875,
Analanjirofo,Madagascar,-16.0,50.0,
Androy,Madagascar,-21.0,47.5,
Anosy,Madagascar,-19.0,47.5,
Atsimo Andrefana,Madagascar,-22.5,43.75,
Atsinanana,Madagascar,-19.0,49.375,
Betsiboka,Madagascar,-17.0,47.5,
Boeny,Madagascar,-15.5,46.875,
Bongolava,Madagascar,-19.5,46.25,
Diana,Madagascar,-13.0,49.375,
Haute Matsiatra,Madagascar,-21.0,46.875,
Ihorombe,Madagascar,-22.0,46.25,
Itasy,Madagascar,-19.0,46.875,
Melaky,Madagascar,-17.5,45,
Menabe,Madagascar,-20.0,45.625,
Sava,Madagascar,-15.5,46.875,
Sofia,Madagascar,-14.5,49.375,
Vakinankaratra,Madagascar,-19.5,46.875,
Vatovavy Fitovinany,Madagascar,-21.0,48.125,
Kabarole,Uganda,1.0,30.625,
Kaberamaido,Uganda,2.0,33.75,
Kampala,Uganda,0.5,33.125,
Kamwenge,Uganda,0.5,30.625,
Kanungu,Uganda,-0.5,30.0,
Kayunga,Uganda,1.0,33.125,
Mayuge,Uganda,0.0,33.75,
Nakasongola,Uganda,1.5,32.5,
Rukungiri,Uganda,-0.5,30.0,
Wakiso,Uganda,0.5,33.125,
Yumbe,Uganda,3.5,31.875,
Amolatar,Uganda,2.0,33.125,
Amuria,Uganda,2.5,33.75,
Butaleja,Uganda,1.0,34.375,
Ibanda,Uganda,0.0,30.625,
Isingiro,Uganda,-0.5,31.25,
Kaabong,Uganda,4.0,34.375,
Kaliro,Uganda,1.5,33.75,
Katakwi,Uganda,2.0,34.375,
Kiruhura,Uganda,0.0,31.25,
Koboko,Uganda,4.0,31.25,
Luwero,Uganda,1.0,32.5,
Mbale,Uganda,1.5,34.375,
Mbarara,Uganda,-0.5,31.25,
Mityana,Uganda,0.5,32.5,
Mubende,Uganda,1.0,31.875,
Nakaseke,Uganda,1.5,32.5,
Tororo,Uganda,1.0,34.375,
Diourbel,Senegal,15.0,-15.625,
Fatick,Senegal,14.0,-16.25,
Louga,Senegal,15.5,-15,
Matam,Senegal,15.5,-13.75,
Saint louis,Senegal,16.5,-15,
Oromia,Ethiopia,8.0,40.625,
Somali,Ethiopia,7.5,43.75,
Central,Kenya,-0.5,36.875,
Coast,Kenya,-1.0,37.5,
Eastern,Kenya,1.5,38.75,
Nairobi,Kenya,-1.0,36.875,
North Eastern,Kenya,1.5,40.625,
Nyanza,Kenya,-1.0,36.875,
Western,Kenya,1.0,35,
Abia,Nigeria,5.5,8.125,
Bauchi,Nigeria,11.0,10.625,
Bayelsa,Nigeria,5.0,6.25,
Ebonyi,Nigeria,6.5,8.125,
Ekiti,Nigeria,8.5,5.625,
Enugu,Nigeria,6.5,8.125,
Gombe,Nigeria,10.5,11.25,
Nassarawa,Nigeria,12.5,8.75,
Ondo,Nigeria,7.5,5.625,
Plateau,Nigeria,9.5,10.0,
Rivers,Nigeria,5.0,6.875,
Sokoto,Nigeria,13.5,5.625,
Zamfara,Nigeria,12.5,6.875,
Bangui,Central African Republic,4.5,18.75,
Kassala,Sudan,15.5,36.25,
Matabeleland North,Zimbabwe,-18.5,27.5,
Mashonaland East,Zimbabwe,-17.5,31.875,
Mpumalanga,South Africa,-26.0,30.625,
North-west,South Africa,-26.0,26.25,
Northern Cape,South Africa,-29.5,21.25,
Eastern Cape,South Africa,-32.0,26.875,
Kwazulu-natal,South Africa,-28.5,31.25,
Gauteng,South Africa,-25.5,28.125,
Free State,South Africa,-28.5,26.875,
Western Cape,South Africa,-33.5,21.25,
